iata_code,airport_size,airport_name,latitude_deg,longitude_deg,city,state_abbrev
JMS,2,Jamestown Regional Airport,46.92969894,-98.67819977,Jamestown,ND
PQI,2,Presque Isle International Airport,46.688999,-68.0448,Presque Isle/Houlton,ME
ALW,2,Walla Walla Regional Airport,46.09489822,-118.288002,Walla Walla,WA
BJI,2,Bemidji Regional Airport,47.50939941,-94.93370056,Bemidji,MN
BLV,2,Scott AFB/Midamerica Airport,38.5452,-89.835197,Belleville,IL
CMX,2,Houghton County Memorial Airport,47.168399810791016,-88.48909759521484,Hancock/Houghton,MI
INL,2,Falls International Airport,48.566200256347656,-93.4030990600586,International Falls,MN
OME,2,Nome Airport,64.51219940185547,-165.44500732421875,Nome,AK
DIK,2,Dickinson Theodore Roosevelt Regional Airport,46.7974014282,-102.802001953,Dickinson,ND
APN,2,Alpena County Regional Airport,45.0780983,-83.56030273,Alpena,MI
DDC,2,Dodge City Regional Airport,37.76340103149414,-99.9655990600586,Dodge City,KS
GRK,2,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,31.0672,-97.828903,Killeen,TX
ESC,1,Delta County Airport,45.7226982117,-87.0936965942,Escanaba,MI
HIB,2,Range Regional Airport,47.3866,-92.838997,Hibbing,MN
CIU,2,Chippewa County International Airport,46.25080108642578,-84.47239685058594,Sault Ste. Marie,MI
JST,2,John Murtha Johnstown Cambria County Airport,40.31610107421875,-78.83390045166016,Johnstown,PA
RHI,2,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,Rhinelander,WI
