iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
SGF,medium_airport,Springfield Branson National Airport,37.245701,-93.388603,1268,Missouri,MO
APA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885,Colorado,CO
ISM,medium_airport,Kissimmee Gateway Airport,28.2898006439,-81.4371032715,82,Florida,FL
AMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,Texas,TX
SMO,medium_airport,Santa Monica Municipal Airport,34.0158,-118.450996,170,California,CA
SBP,medium_airport,San Luis County Regional Airport,35.236801147499996,-120.641998291,212,California,CA
SBN,medium_airport,South Bend Regional Airport,41.708698,-86.317299,799,Indiana,IN
ORL,small_airport,Orlando Executive Airport,28.5455,-81.332901,113,Florida,FL
MYF,small_airport,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,427,California,CA
BIL,medium_airport,Billings Logan International Airport,45.807701,-108.542999,3652,Montana,MT
NEW,medium_airport,Lakefront Airport,30.042400360107,-90.028297424316,8,Louisiana,LA
FAI,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,Alaska,AK
BLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170,Washington,WA
FWA,medium_airport,Fort Wayne International Airport,40.9785,-85.195099,814,Indiana,IN
SWF,medium_airport,New York Stewart International Airport,41.504101,-74.104797,491,New York,NY
FAR,medium_airport,Hector International Airport,46.92070007324219,-96.81580352783203,902,North Dakota,ND
SCF,small_airport,Scottsdale Airport,33.622898101807,-111.91100311279,1510,Arizona,AZ
SDX,small_airport,Sedona Airport,34.848598480225,-111.78800201416,4830,Arizona,AZ
CID,medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,869,Iowa,IA
GNV,medium_airport,Gainesville Regional Airport,29.6900997162,-82.2717971802,152,Florida,FL
ISP,medium_airport,Long Island Mac Arthur Airport,40.79520035,-73.10019684,99,New York,NY
FSD,medium_airport,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,1429,South Dakota,SD
CLD,medium_airport,McClellan-Palomar Airport,33.1283,-117.279999,331,California,CA
LAL,medium_airport,Lakeland Linder International Airport,27.988899,-82.018602,142,Florida,FL
APF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8,Florida,FL
DLH,medium_airport,Duluth International Airport,46.842098,-92.193604,1428,Minnesota,MN
LNK,medium_airport,Lincoln Airport,40.85100173950195,-96.75920104980469,1219,Nebraska,NE
MAF,medium_airport,Midland International Air and Space Port,31.942499,-102.202003,2871,Texas,TX
ROA,medium_airport,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,1175,Virginia,VA
PAE,medium_airport,Seattle Paine Field International Airport,47.9063,-122.281998,606,Washington,WA
ABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,Pennsylvania,PA
BED,medium_airport,Laurence G Hanscom Field,42.470001,-71.289001,133,Massachusetts,MA
EUG,medium_airport,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,374,Oregon,OR
ASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820,Colorado,CO
STS,medium_airport,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,128,California,CA
